row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C23,11,Male,touch,touch,1,1,1,566.5,335,91.74,170.48,104,190,502.46,27,652,4.2935,6.5851,0,"17/12/2025, 14:55:43",,,,
2,trial,C23,11,Male,touch,touch,1,2,2,91.74,170.48,956.28,295.63,965,276,873.56,54,648,4.1024,6.3309,1,"17/12/2025, 14:55:44",,,,
3,trial,C23,11,Male,touch,touch,1,3,3,956.28,295.63,313.37,168.55,313,180,655.35,27,649,4.6595,7.1795,1,"17/12/2025, 14:55:46",,,,
4,trial,C23,11,Male,touch,touch,1,4,4,313.37,168.55,569.18,244.58,559,240,266.87,27,449,3.4442,7.6707,1,"17/12/2025, 14:55:47",,,,
5,trial,C23,11,Male,touch,touch,1,5,5,569.18,244.58,751.64,49.76,751,67,266.92,27,549,3.4444,6.2739,0,"17/12/2025, 14:55:49",,,,
6,trial,C23,11,Male,touch,touch,1,6,6,751.64,49.76,1021.13,151.8,1011,158,288.16,27,533,3.5451,6.6512,1,"17/12/2025, 14:55:50",,,,
7,trial,C23,11,Male,touch,touch,1,7,7,1021.13,151.8,685.32,498.31,695,486,482.54,40,499,3.7075,7.4298,1,"17/12/2025, 14:55:52",,,,
8,trial,C23,11,Male,touch,touch,1,8,8,685.32,498.31,237.33,397.03,222,398,459.29,40,615,3.6418,5.9216,1,"17/12/2025, 14:55:53",,,,
9,trial,C23,11,Male,touch,touch,1,9,9,237.33,397.03,354.38,353.94,372,342,124.73,40,466,2.042,4.382,0,"17/12/2025, 14:55:55",,,,
10,trial,C23,11,Male,touch,touch,1,10,10,354.38,353.94,391.45,299.56,395,314,65.81,27,466,1.7813,3.8226,0,"17/12/2025, 14:55:56",,,,
11,trial,C23,11,Male,touch,touch,2,1,11,391.45,299.56,1047.96,366.97,1057,373,659.96,40,599,4.1292,6.8935,1,"17/12/2025, 14:55:58",,,,
12,trial,C23,11,Male,touch,touch,2,2,12,1047.96,366.97,380.57,535.12,393,520,688.24,54,549,3.7809,6.8868,1,"17/12/2025, 14:55:59",,,,
13,trial,C23,11,Male,touch,touch,2,3,13,380.57,535.12,367.01,203.93,335,190,331.47,40,583,3.2152,5.5149,0,"17/12/2025, 14:56:01",,,,
14,trial,C23,11,Male,touch,touch,2,4,14,367.01,203.93,660.93,613.03,662,591,503.74,27,831,4.297,5.1709,0,"17/12/2025, 14:56:02",,,,
15,trial,C23,11,Male,touch,touch,2,5,15,660.93,613.03,60.87,97.83,70,100,790.89,27,733,4.9209,6.7133,1,"17/12/2025, 14:56:04",,,,
16,trial,C23,11,Male,touch,touch,2,6,16,60.87,97.83,261.78,355.72,262,353,326.92,54,600,2.8184,4.6974,1,"17/12/2025, 14:56:05",,,,
17,trial,C23,11,Male,touch,touch,2,7,17,261.78,355.72,901.66,421.51,936,421,643.25,54,582,3.6906,6.3413,0,"17/12/2025, 14:56:07",,,,
18,trial,C23,11,Male,touch,touch,2,8,18,901.66,421.51,830.13,277.75,820,268,160.57,54,550,1.9904,3.619,1,"17/12/2025, 14:56:08",,,,
19,trial,C23,11,Male,touch,touch,2,9,19,830.13,277.75,575.86,169.56,576,174,276.33,40,633,2.9833,4.713,1,"17/12/2025, 14:56:10",,,,
20,trial,C23,11,Male,touch,touch,2,10,20,575.86,169.56,518.23,519.39,522,515,354.54,40,533,3.3021,6.1953,1,"17/12/2025, 14:56:11",,,,
21,summary,C23,11,Male,touch,touch,,,,,,,,,,,,,,,,,20,585.95,5.9496,35
22,summary,C23,11,Male,touch,ALL,,,,,,,,,,,,,,,,,20,585.95,5.9496,35
