row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C16,12,Male,touch,touch,1,1,1,566.5,335,379.15,364.71,367,355,189.69,27,651,3.0046,4.6154,0,"20/11/2025, 18:22:43",,,,
2,trial,C16,12,Male,touch,touch,1,2,2,379.15,364.71,673.91,75.99,677,104,412.6,40,632,3.5002,5.5383,0,"20/11/2025, 18:22:44",,,,
3,trial,C16,12,Male,touch,touch,1,3,3,673.91,75.99,346.85,504.27,355,492,538.88,27,532,4.3895,8.2509,0,"20/11/2025, 18:22:45",,,,
4,trial,C16,12,Male,touch,touch,1,4,4,346.85,504.27,667.95,575.45,674,566,328.89,27,549,3.7204,6.7767,1,"20/11/2025, 18:22:47",,,,
5,trial,C16,12,Male,touch,touch,1,5,5,667.95,575.45,354.24,98.14,365,107,571.18,54,683,3.5332,5.1731,1,"20/11/2025, 18:22:48",,,,
6,trial,C16,12,Male,touch,touch,1,6,6,354.24,98.14,594.86,557.84,592,578,518.87,54,616,3.4072,5.5311,1,"20/11/2025, 18:22:49",,,,
7,trial,C16,12,Male,touch,touch,1,7,7,594.86,557.84,760.74,511.3,788,527,172.29,54,466,2.0671,4.4359,0,"20/11/2025, 18:22:51",,,,
8,trial,C16,12,Male,touch,touch,1,8,8,760.74,511.3,577.16,120.49,589,126,431.79,27,633,4.0868,6.4562,1,"20/11/2025, 18:22:52",,,,
9,trial,C16,12,Male,touch,touch,1,9,9,577.16,120.49,191.5,463.07,185,463,515.85,54,532,3.3995,6.3901,1,"20/11/2025, 18:22:53",,,,
10,trial,C16,12,Male,touch,touch,1,10,10,191.5,463.07,113.04,510.17,88,555,91.5,54,467,1.43,3.0622,0,"20/11/2025, 18:22:55",,,,
11,trial,C16,12,Male,touch,touch,2,1,11,113.04,510.17,592.01,316.92,602,324,516.48,54,500,3.4012,6.8023,1,"20/11/2025, 18:22:56",,,,
12,trial,C16,12,Male,touch,touch,2,2,12,592.01,316.92,477.63,186.24,481,186,173.67,54,582,2.0759,3.5669,1,"20/11/2025, 18:22:57",,,,
13,trial,C16,12,Male,touch,touch,2,3,13,477.63,186.24,688.32,229.33,690,240,215.06,40,484,2.6727,5.5222,1,"20/11/2025, 18:22:59",,,,
14,trial,C16,12,Male,touch,touch,2,4,14,688.32,229.33,808.02,208.46,791,218,121.5,40,531,2.0135,3.7918,1,"20/11/2025, 18:23:00",,,,
15,trial,C16,12,Male,touch,touch,2,5,15,808.02,208.46,627.62,509.24,626,522,350.73,54,485,2.9059,5.9916,1,"20/11/2025, 18:23:01",,,,
16,trial,C16,12,Male,touch,touch,2,6,16,627.62,509.24,731.53,340.08,698,356,198.53,54,481,2.2254,4.6266,0,"20/11/2025, 18:23:03",,,,
17,trial,C16,12,Male,touch,touch,2,7,17,731.53,340.08,82.69,267.08,92,265,652.94,27,685,4.6544,6.7947,1,"20/11/2025, 18:23:04",,,,
18,trial,C16,12,Male,touch,touch,2,8,18,82.69,267.08,535.72,518.76,516,547,518.25,27,616,4.3359,7.0388,0,"20/11/2025, 18:23:05",,,,
19,trial,C16,12,Male,touch,touch,2,9,19,535.72,518.76,427.34,537.3,428,541,109.95,54,447,1.6022,3.5843,1,"20/11/2025, 18:23:07",,,,
20,trial,C16,12,Male,touch,touch,2,10,20,427.34,537.3,178.34,91.49,183,80,510.63,54,670,3.3863,5.0541,1,"20/11/2025, 18:23:08",,,,
21,summary,C16,12,Male,touch,touch,,,,,,,,,,,,,,,,,20,562.1,5.4502,35
22,summary,C16,12,Male,touch,ALL,,,,,,,,,,,,,,,,,20,562.1,5.4502,35
