row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C12,6,Female,touch,touch,1,1,1,566.5,335,292.51,226.67,289,237,294.63,40,1149,3.0645,2.6671,1,"07/10/2025, 17:10:27",,,,
2,trial,C12,6,Female,touch,touch,1,2,2,292.51,226.67,555.12,133.4,552,150,278.68,27,882,3.501,3.9694,0,"07/10/2025, 17:10:29",,,,
3,trial,C12,6,Female,touch,touch,1,3,3,555.12,133.4,943.68,203.52,929,239,394.84,27,801,3.9657,4.9509,0,"07/10/2025, 17:10:32",,,,
4,trial,C12,6,Female,touch,touch,1,4,4,943.68,203.52,923.06,180.99,924,216,30.54,54,816,0.6467,0.7926,0,"07/10/2025, 17:10:34",,,,
5,trial,C12,6,Female,touch,touch,1,5,5,923.06,180.99,985.52,77.96,953,122,120.49,40,916,2.0044,2.1882,0,"07/10/2025, 17:10:37",,,,
6,trial,C12,6,Female,touch,touch,1,6,6,985.52,77.96,740.77,572.89,765,578,552.14,27,883,4.4229,5.0089,0,"07/10/2025, 17:10:39",,,,
7,trial,C12,6,Female,touch,touch,1,7,7,740.77,572.89,807.38,362.66,818,370,220.53,54,1200,2.3459,1.955,1,"07/10/2025, 17:10:42",,,,
8,trial,C12,6,Female,touch,touch,1,8,8,807.38,362.66,373.21,595.76,377,594,492.78,40,967,3.7355,3.863,1,"07/10/2025, 17:10:44",,,,
9,trial,C12,6,Female,touch,touch,1,9,9,373.21,595.76,1002.17,262.89,1003,301,711.62,40,1064,4.2319,3.9774,0,"07/10/2025, 17:10:47",,,,
10,trial,C12,6,Female,touch,touch,1,10,10,1002.17,262.89,217.57,510.13,285,576,822.64,40,818,4.4307,5.4165,0,"07/10/2025, 17:10:49",,,,
11,trial,C12,6,Female,touch,touch,2,1,11,217.57,510.13,392.93,287.67,356,368,283.26,54,900,2.6428,2.9365,0,"07/10/2025, 17:10:52",,,,
12,trial,C12,6,Female,touch,touch,2,2,12,392.93,287.67,401.58,363.27,404,369,76.09,27,1683,1.9328,1.1484,1,"07/10/2025, 17:10:54",,,,
13,trial,C12,6,Female,touch,touch,2,3,13,401.58,363.27,871.47,390.52,908,372,470.69,54,1250,3.2804,2.6243,0,"07/10/2025, 17:10:57",,,,
14,trial,C12,6,Female,touch,touch,2,4,14,871.47,390.52,448.48,89.31,442,143,519.28,27,1866,4.3386,2.3251,0,"07/10/2025, 17:10:59",,,,
15,trial,C12,6,Female,touch,touch,2,5,15,448.48,89.31,1035.59,382.12,1031,389,656.07,27,1116,4.661,4.1765,1,"07/10/2025, 17:11:02",,,,
16,trial,C12,6,Female,touch,touch,2,6,16,1035.59,382.12,647.61,175.16,647,169,439.73,40,1134,3.5841,3.1606,1,"07/10/2025, 17:11:04",,,,
17,trial,C12,6,Female,touch,touch,2,7,17,647.61,175.16,708.85,457.64,723,460,289.04,40,1099,3.0402,2.7663,1,"07/10/2025, 17:11:07",,,,
18,trial,C12,6,Female,touch,touch,2,8,18,708.85,457.64,721.8,133.96,719,134,323.94,54,1299,2.8071,2.161,1,"07/10/2025, 17:11:09",,,,
19,trial,C12,6,Female,touch,touch,2,9,19,721.8,133.96,946.73,187.14,947,199,231.14,27,1550,3.2571,2.1014,1,"07/10/2025, 17:11:12",,,,
20,trial,C12,6,Female,touch,touch,2,10,20,946.73,187.14,546.47,274.63,551,270,409.71,27,847,4.0156,4.741,1,"07/10/2025, 17:11:14",,,,
21,summary,C12,6,Female,touch,touch,,,,,,,,,,,,,,,,,20,1112,3.1465,50
22,summary,C12,6,Female,touch,ALL,,,,,,,,,,,,,,,,,20,1112,3.1465,50
