row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C01,9,Female,touch,touch,1,1,1,566.5,335,995.32,121.3,993,118,479.12,54,882,3.3034,3.7454,1,"24/08/2025, 13:37:48",,,,
2,trial,C01,9,Female,touch,touch,1,2,2,995.32,121.3,495.19,96.65,501,117,500.73,27,807,4.2888,5.3145,0,"24/08/2025, 13:37:50",,,,
3,trial,C01,9,Female,touch,touch,1,3,3,495.19,96.65,300.24,307.38,291,306,287.08,27,666,3.5401,5.3154,1,"24/08/2025, 13:37:52",,,,
4,trial,C01,9,Female,touch,touch,1,4,4,300.24,307.38,908.04,451.7,907,450,624.7,27,747,4.5932,6.1488,1,"24/08/2025, 13:37:55",,,,
5,trial,C01,9,Female,touch,touch,1,5,5,908.04,451.7,899.89,290.63,905,288,161.28,54,616,1.9952,3.2389,1,"24/08/2025, 13:37:58",,,,
6,trial,C01,9,Female,touch,touch,1,6,6,899.89,290.63,945.01,527.63,947,533,241.26,27,635,3.3126,5.2167,1,"24/08/2025, 13:38:01",,,,
7,trial,C01,9,Female,touch,touch,1,7,7,945.01,527.63,546.41,446.43,549,433,406.79,27,582,4.006,6.8831,0,"24/08/2025, 13:38:03",,,,
8,trial,C01,9,Female,touch,touch,1,8,8,546.41,446.43,839.6,102.56,837,110,451.9,27,733,4.1487,5.6599,1,"24/08/2025, 13:38:06",,,,
9,trial,C01,9,Female,touch,touch,1,9,9,839.6,102.56,325.08,624.39,334,623,732.83,27,735,4.8147,6.5505,1,"24/08/2025, 13:38:08",,,,
10,trial,C01,9,Female,touch,touch,1,10,10,325.08,624.39,238.28,61.45,228,76,569.59,27,928,4.4657,4.8122,0,"24/08/2025, 13:38:11",,,,
11,trial,C01,9,Female,touch,touch,2,1,11,238.28,61.45,653.23,354.71,659,357,508.11,40,735,3.7764,5.138,1,"24/08/2025, 13:38:14",,,,
12,trial,C01,9,Female,touch,touch,2,2,12,653.23,354.71,234.59,375.99,217,392,419.17,27,649,4.0466,6.2351,0,"24/08/2025, 13:38:16",,,,
13,trial,C01,9,Female,touch,touch,2,3,13,234.59,375.99,854.8,164.21,832,170,655.37,54,583,3.7155,6.3731,1,"24/08/2025, 13:38:19",,,,
14,trial,C01,9,Female,touch,touch,2,4,14,854.8,164.21,320.73,327.34,312,327,558.43,54,631,3.5035,5.5523,1,"24/08/2025, 13:38:22",,,,
15,trial,C01,9,Female,touch,touch,2,5,15,320.73,327.34,267.42,490.76,279,498,171.89,40,502,2.4053,4.7914,1,"24/08/2025, 13:38:24",,,,
16,trial,C01,9,Female,touch,touch,2,6,16,267.42,490.76,1035.91,148.51,1015,153,841.26,54,649,4.0513,6.2423,1,"24/08/2025, 13:38:27",,,,
17,trial,C01,9,Female,touch,touch,2,7,17,1035.91,148.51,419.61,532.42,410,533,726.1,40,684,4.2595,6.2273,1,"24/08/2025, 13:38:29",,,,
18,trial,C01,9,Female,touch,touch,2,8,18,419.61,532.42,130.61,410.67,132,423,313.6,40,599,3.144,5.2488,1,"24/08/2025, 13:38:32",,,,
19,trial,C01,9,Female,touch,touch,2,9,19,130.61,410.67,256.22,339.65,260,336,144.3,54,633,1.8767,2.9647,1,"24/08/2025, 13:38:35",,,,
20,trial,C01,9,Female,touch,touch,2,10,20,256.22,339.65,304.85,326.57,303,311,50.36,27,616,1.5187,2.4654,0,"24/08/2025, 13:38:38",,,,
21,summary,C01,9,Female,touch,touch,,,,,,,,,,,,,,,,,20,680.6,5.2062,25
22,summary,C01,9,Female,touch,ALL,,,,,,,,,,,,,,,,,20,680.6,5.2062,25
