row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C04,12,Female,touch,touch,1,1,1,566.5,335,925.32,340.27,928,329,358.86,40,564,3.3178,5.8826,1,"30/08/2025, 12:53:05",,,,
2,trial,C04,12,Female,touch,touch,1,2,2,925.32,340.27,296.04,229.01,298,234,639.03,27,784,4.6246,5.8987,1,"30/08/2025, 12:53:06",,,,
3,trial,C04,12,Female,touch,touch,1,3,3,296.04,229.01,130.24,100.93,127,97,209.51,54,630,2.2868,3.6299,1,"30/08/2025, 12:53:08",,,,
4,trial,C04,12,Female,touch,touch,1,4,4,130.24,100.93,207.68,296.34,202,297,210.19,40,619,2.645,4.273,1,"30/08/2025, 12:53:09",,,,
5,trial,C04,12,Female,touch,touch,1,5,5,207.68,296.34,288.13,254.02,289,250,90.91,27,531,2.1266,4.0049,1,"30/08/2025, 12:53:11",,,,
6,trial,C04,12,Female,touch,touch,1,6,6,288.13,254.02,840.12,410.66,842,436,573.78,27,600,4.4758,7.4597,0,"30/08/2025, 12:53:12",,,,
7,trial,C04,12,Female,touch,touch,1,7,7,840.12,410.66,620.89,546.13,612,553,257.71,27,483,3.3985,7.0361,1,"30/08/2025, 12:53:14",,,,
8,trial,C04,12,Female,touch,touch,1,8,8,620.89,546.13,342.42,432.15,335,421,300.9,40,516,3.0913,5.9908,1,"30/08/2025, 12:53:15",,,,
9,trial,C04,12,Female,touch,touch,1,9,9,342.42,432.15,830.77,560.43,832,553,504.92,40,618,3.768,6.0971,1,"30/08/2025, 12:53:17",,,,
10,trial,C04,12,Female,touch,touch,1,10,10,830.77,560.43,1085.45,79.29,1068,71,544.38,27,699,4.4034,6.2996,0,"30/08/2025, 12:53:18",,,,
11,trial,C04,12,Female,touch,touch,2,1,11,1085.45,79.29,923.27,581.31,926,594,527.57,54,849,3.4289,4.0388,1,"30/08/2025, 12:53:20",,,,
12,trial,C04,12,Female,touch,touch,2,2,12,923.27,581.31,845.43,424.88,850,383,174.73,40,583,2.4244,4.1585,0,"30/08/2025, 12:53:21",,,,
13,trial,C04,12,Female,touch,touch,2,3,13,845.43,424.88,680.52,242.23,648,242,246.08,54,647,2.4743,3.8243,0,"30/08/2025, 12:53:23",,,,
14,trial,C04,12,Female,touch,touch,2,4,14,680.52,242.23,837.06,258.16,823,286,157.35,54,552,1.9686,3.5663,0,"30/08/2025, 12:53:24",,,,
15,trial,C04,12,Female,touch,touch,2,5,15,837.06,258.16,878.67,410.12,888,408,157.56,54,600,1.97,3.2833,1,"30/08/2025, 12:53:26",,,,
16,trial,C04,12,Female,touch,touch,2,6,16,878.67,410.12,73.47,383.23,110,381,805.65,40,697,4.402,6.3156,0,"30/08/2025, 12:53:27",,,,
17,trial,C04,12,Female,touch,touch,2,7,17,73.47,383.23,323.47,381.73,314,390,250,40,517,2.858,5.528,1,"30/08/2025, 12:53:29",,,,
18,trial,C04,12,Female,touch,touch,2,8,18,323.47,381.73,292.08,467.04,292,494,90.9,27,582,2.1266,3.6539,0,"30/08/2025, 12:53:30",,,,
19,trial,C04,12,Female,touch,touch,2,9,19,292.08,467.04,602.71,379.18,605,377,322.82,40,547,3.1812,5.8157,1,"30/08/2025, 12:53:32",,,,
20,trial,C04,12,Female,touch,touch,2,10,20,602.71,379.18,1072.11,556.28,1086,556,501.69,27,668,4.2914,6.4243,0,"30/08/2025, 12:53:33",,,,
21,summary,C04,12,Female,touch,touch,,,,,,,,,,,,,,,,,20,614.3,5.1591,40
22,summary,C04,12,Female,touch,ALL,,,,,,,,,,,,,,,,,20,614.3,5.1591,40
