row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C03,8,Female,touch,touch,1,1,1,566.5,335,728.01,458.44,735,448,203.28,40,718,2.6046,3.6275,1,"24/08/2025, 16:07:40",,,,
2,trial,C03,8,Female,touch,touch,1,2,2,728.01,458.44,551.46,426.17,568,426,179.48,40,482,2.456,5.0955,1,"24/08/2025, 16:07:41",,,,
3,trial,C03,8,Female,touch,touch,1,3,3,551.46,426.17,863.28,242.67,850,250,361.81,27,616,3.848,6.2468,0,"24/08/2025, 16:07:43",,,,
4,trial,C03,8,Female,touch,touch,1,4,4,863.28,242.67,247.48,142.85,218,145,623.84,27,764,4.5913,6.0095,0,"24/08/2025, 16:07:44",,,,
5,trial,C03,8,Female,touch,touch,1,5,5,247.48,142.85,522.08,152.97,509,176,274.79,40,501,2.9763,5.9407,0,"24/08/2025, 16:07:46",,,,
6,trial,C03,8,Female,touch,touch,1,6,6,522.08,152.97,738.86,325.47,730,339,277.04,27,465,3.4932,7.5123,0,"24/08/2025, 16:07:47",,,,
7,trial,C03,8,Female,touch,touch,1,7,7,738.86,325.47,747.28,609.44,765,598,284.1,40,466,3.0184,6.4772,0,"24/08/2025, 16:07:49",,,,
8,trial,C03,8,Female,touch,touch,1,8,8,747.28,609.44,441.18,499.37,445,484,325.28,54,433,2.8122,6.4948,1,"24/08/2025, 16:07:50",,,,
9,trial,C03,8,Female,touch,touch,1,9,9,441.18,499.37,575.38,234.14,568,243,297.25,27,515,3.5861,6.9632,1,"24/08/2025, 16:07:52",,,,
10,trial,C03,8,Female,touch,touch,1,10,10,575.38,234.14,174.27,50.95,180,74,440.96,27,635,4.1154,6.4809,0,"24/08/2025, 16:07:53",,,,
11,trial,C03,8,Female,touch,touch,2,1,11,174.27,50.95,310.58,95.32,316,109,143.35,40,583,2.1966,3.7677,1,"24/08/2025, 16:07:55",,,,
12,trial,C03,8,Female,touch,touch,2,2,12,310.58,95.32,585.65,467.49,585,479,462.78,54,716,3.2585,4.551,1,"24/08/2025, 16:07:56",,,,
13,trial,C03,8,Female,touch,touch,2,3,13,585.65,467.49,176.32,366.44,178,381,421.61,40,515,3.5286,6.8517,1,"24/08/2025, 16:07:58",,,,
14,trial,C03,8,Female,touch,touch,2,4,14,176.32,366.44,528.52,264.95,528,287,366.53,27,450,3.8654,8.5899,0,"24/08/2025, 16:07:59",,,,
15,trial,C03,8,Female,touch,touch,2,5,15,528.52,264.95,157.65,241.08,136,239,371.63,40,583,3.3633,5.7689,0,"24/08/2025, 16:08:01",,,,
16,trial,C03,8,Female,touch,touch,2,6,16,157.65,241.08,765.29,225.37,738,232,607.84,40,614,4.0176,6.5433,0,"24/08/2025, 16:08:02",,,,
17,trial,C03,8,Female,touch,touch,2,7,17,765.29,225.37,816.15,248.43,827,243,55.84,40,552,1.2606,2.2837,1,"24/08/2025, 16:08:04",,,,
18,trial,C03,8,Female,touch,touch,2,8,18,816.15,248.43,899.94,327.3,891,353,115.07,54,480,1.6466,3.4305,0,"24/08/2025, 16:08:05",,,,
19,trial,C03,8,Female,touch,touch,2,9,19,899.94,327.3,943.38,559.92,945,563,236.64,40,1068,2.7899,2.6123,1,"24/08/2025, 16:08:07",,,,
20,trial,C03,8,Female,touch,touch,2,10,20,943.38,559.92,1085.29,73.26,1070,72,506.92,27,2516,4.3056,1.7113,0,"24/08/2025, 16:08:08",,,,
21,summary,C03,8,Female,touch,touch,,,,,,,,,,,,,,,,,20,683.6,5.3479,55
22,summary,C03,8,Female,touch,ALL,,,,,,,,,,,,,,,,,20,683.6,5.3479,55
