row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C24,8,Female,touch,touch,1,1,1,566.5,335,536.87,550.04,538,543,217.07,54,768,2.3276,3.0308,1,"17/12/2025, 15:03:50",,,,
2,trial,C24,8,Female,touch,touch,1,2,2,536.87,550.04,558.53,507.39,563,498,47.83,54,597,0.9152,1.5329,1,"17/12/2025, 15:03:51",,,,
3,trial,C24,8,Female,touch,touch,1,3,3,558.53,507.39,500.79,291.4,502,280,223.57,27,816,3.2142,3.939,1,"17/12/2025, 15:03:53",,,,
4,trial,C24,8,Female,touch,touch,1,4,4,500.79,291.4,530.96,263.71,537,261,40.95,54,699,0.8142,1.1648,1,"17/12/2025, 15:03:54",,,,
5,trial,C24,8,Female,touch,touch,1,5,5,530.96,263.71,194.09,442.2,206,444,381.24,40,1200,3.3966,2.8305,1,"17/12/2025, 15:03:56",,,,
6,trial,C24,8,Female,touch,touch,1,6,6,194.09,442.2,319.58,235.42,329,243,241.88,27,817,3.316,4.0587,1,"17/12/2025, 15:03:57",,,,
7,trial,C24,8,Female,touch,touch,1,7,7,319.58,235.42,244.18,112.25,251,98,144.41,40,830,2.2049,2.6565,1,"17/12/2025, 15:03:59",,,,
8,trial,C24,8,Female,touch,touch,1,8,8,244.18,112.25,890.41,389.71,900,414,703.28,54,818,3.8098,4.6575,1,"17/12/2025, 15:04:00",,,,
9,trial,C24,8,Female,touch,touch,1,9,9,890.41,389.71,503.04,508.26,491,519,405.11,27,800,4.0004,5.0005,0,"17/12/2025, 15:04:02",,,,
10,trial,C24,8,Female,touch,touch,1,10,10,503.04,508.26,862.19,159.34,846,153,500.73,40,865,3.7568,4.3432,1,"17/12/2025, 15:04:03",,,,
11,trial,C24,8,Female,touch,touch,2,1,11,862.19,159.34,468.13,93.81,469,100,399.47,27,914,3.9814,4.356,1,"17/12/2025, 15:04:05",,,,
12,trial,C24,8,Female,touch,touch,2,2,12,468.13,93.81,371.65,524.41,496,446,441.27,27,448,4.1163,9.1882,0,"17/12/2025, 15:04:06",,,,
13,trial,C24,8,Female,touch,touch,2,3,13,371.65,524.41,714.65,99.66,718,199,545.94,54,819,3.4738,4.2415,0,"17/12/2025, 15:04:08",,,,
14,trial,C24,8,Female,touch,touch,2,4,14,714.65,99.66,567.99,444.08,629,464,374.35,27,432,3.8938,9.0135,0,"17/12/2025, 15:04:09",,,,
15,trial,C24,8,Female,touch,touch,2,5,15,567.99,444.08,114.93,71.02,130,81,586.88,27,1065,4.5069,4.2319,0,"17/12/2025, 15:04:11",,,,
16,trial,C24,8,Female,touch,touch,2,6,16,114.93,71.02,515.98,436.39,532,479,542.52,27,882,4.3987,4.9872,0,"17/12/2025, 15:04:12",,,,
17,trial,C24,8,Female,touch,touch,2,7,17,515.98,436.39,721.53,95.5,720,94,398.08,27,985,3.9767,4.0373,1,"17/12/2025, 15:04:14",,,,
18,trial,C24,8,Female,touch,touch,2,8,18,721.53,95.5,689.12,241.87,698,272,149.92,54,1114,1.9169,1.7208,0,"17/12/2025, 15:04:15",,,,
19,trial,C24,8,Female,touch,touch,2,9,19,689.12,241.87,926.11,114.7,932,165,268.96,54,801,2.5803,3.2214,0,"17/12/2025, 15:04:17",,,,
20,trial,C24,8,Female,touch,touch,2,10,20,926.11,114.7,417.3,205.38,408,206,516.83,27,1317,4.3321,3.2894,1,"17/12/2025, 15:04:18",,,,
21,summary,C24,8,Female,touch,touch,,,,,,,,,,,,,,,,,20,849.35,4.0751,40
22,summary,C24,8,Female,touch,ALL,,,,,,,,,,,,,,,,,20,849.35,4.0751,40
