row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C18,10,Male,touch,touch,1,1,1,566.5,335,493.02,252.83,507,234,110.23,27,534,2.3455,4.3924,0,"25/11/2025, 17:29:00",,,,
2,trial,C18,10,Male,touch,touch,1,2,2,493.02,252.83,898.61,251.24,901,246,405.59,40,562,3.4777,6.188,1,"25/11/2025, 17:29:01",,,,
3,trial,C18,10,Male,touch,touch,1,3,3,898.61,251.24,1034.54,182.51,1021,173,152.31,40,633,2.2654,3.5788,1,"25/11/2025, 17:29:03",,,,
4,trial,C18,10,Male,touch,touch,1,4,4,1034.54,182.51,953.82,72.64,941,67,136.33,27,598,2.5967,4.3424,0,"25/11/2025, 17:29:04",,,,
5,trial,C18,10,Male,touch,touch,1,5,5,953.82,72.64,996.19,264.5,972,266,196.48,27,434,3.0491,7.0256,0,"25/11/2025, 17:29:06",,,,
6,trial,C18,10,Male,touch,touch,1,6,6,996.19,264.5,158.28,382.77,174,382,846.22,54,932,4.0592,4.3554,1,"25/11/2025, 17:29:07",,,,
7,trial,C18,10,Male,touch,touch,1,7,7,158.28,382.77,600.45,293.55,600,311,451.07,27,481,4.1462,8.62,0,"25/11/2025, 17:29:09",,,,
8,trial,C18,10,Male,touch,touch,1,8,8,600.45,293.55,545.89,93.28,521,108,207.57,54,569,2.2762,4.0003,0,"25/11/2025, 17:29:10",,,,
9,trial,C18,10,Male,touch,touch,1,9,9,545.89,93.28,258.74,172.78,256,173,297.95,40,600,3.0787,5.1312,1,"25/11/2025, 17:29:12",,,,
10,trial,C18,10,Male,touch,touch,1,10,10,258.74,172.78,108.03,364.35,112,382,243.75,54,449,2.4631,5.4857,1,"25/11/2025, 17:29:13",,,,
11,trial,C18,10,Male,touch,touch,2,1,11,108.03,364.35,932.69,235.68,925,258,834.64,27,598,4.9961,8.3546,0,"25/11/2025, 17:29:15",,,,
12,trial,C18,10,Male,touch,touch,2,2,12,932.69,235.68,912.59,431.47,902,451,196.82,54,418,2.2156,5.3005,1,"25/11/2025, 17:29:16",,,,
13,trial,C18,10,Male,touch,touch,2,3,13,912.59,431.47,413.12,183.08,430,194,557.82,54,534,3.5021,6.5582,1,"25/11/2025, 17:29:18",,,,
14,trial,C18,10,Male,touch,touch,2,4,14,413.12,183.08,683.21,565.21,692,559,467.95,54,615,3.2729,5.3217,1,"25/11/2025, 17:29:19",,,,
15,trial,C18,10,Male,touch,touch,2,5,15,683.21,565.21,1036.24,454.02,1038,441,370.12,54,499,2.9734,5.9588,1,"25/11/2025, 17:29:21",,,,
16,trial,C18,10,Male,touch,touch,2,6,16,1036.24,454.02,997.75,496.19,1011,496,57.1,27,515,1.6391,3.1827,1,"25/11/2025, 17:29:22",,,,
17,trial,C18,10,Male,touch,touch,2,7,17,997.75,496.19,1024.05,514.53,1039,518,32.06,40,418,0.8492,2.0317,1,"25/11/2025, 17:29:24",,,,
18,trial,C18,10,Male,touch,touch,2,8,18,1024.05,514.53,390.72,504.02,384,493,633.42,54,583,3.6702,6.2953,1,"25/11/2025, 17:29:25",,,,
19,trial,C18,10,Male,touch,touch,2,9,19,390.72,504.02,678.31,166.75,681,174,443.24,40,583,3.5947,6.1658,1,"25/11/2025, 17:29:27",,,,
20,trial,C18,10,Male,touch,touch,2,10,20,678.31,166.75,1042.01,221.79,992,244,367.84,40,514,3.3499,6.5174,0,"25/11/2025, 17:29:28",,,,
21,summary,C18,10,Male,touch,touch,,,,,,,,,,,,,,,,,20,553.45,5.4403,35
22,summary,C18,10,Male,touch,ALL,,,,,,,,,,,,,,,,,20,553.45,5.4403,35
