row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C10,11,Female,touch,touch,1,1,1,566.5,335,233.13,388.16,230,391,337.58,40,700,3.2387,4.6268,1,"19/09/2025, 09:16:23",,,,
2,trial,C10,11,Female,touch,touch,1,2,2,233.13,388.16,750.86,83.34,744,106,600.81,54,684,3.6,5.2632,1,"19/09/2025, 09:16:24",,,,
3,trial,C10,11,Female,touch,touch,1,3,3,750.86,83.34,1011.23,115.39,1005,115,262.33,40,648,2.9181,4.5032,1,"19/09/2025, 09:16:26",,,,
4,trial,C10,11,Female,touch,touch,1,4,4,1011.23,115.39,593.81,549.32,590,542,602.11,27,668,4.5423,6.7998,1,"19/09/2025, 09:16:27",,,,
5,trial,C10,11,Female,touch,touch,1,5,5,593.81,549.32,228.39,315.21,224,312,433.99,27,750,4.0937,5.4583,1,"19/09/2025, 09:16:29",,,,
6,trial,C10,11,Female,touch,touch,1,6,6,228.39,315.21,666.19,379.69,682,370,442.53,27,634,4.1202,6.4987,0,"19/09/2025, 09:16:30",,,,
7,trial,C10,11,Female,touch,touch,1,7,7,666.19,379.69,761.55,250.81,767,263,160.33,54,550,1.9888,3.616,1,"19/09/2025, 09:16:32",,,,
8,trial,C10,11,Female,touch,touch,1,8,8,761.55,250.81,878.37,281.04,894,270,120.67,40,550,2.0061,3.6474,1,"19/09/2025, 09:16:33",,,,
9,trial,C10,11,Female,touch,touch,1,9,9,878.37,281.04,898.61,232.59,899,216,52.5,54,550,0.9799,1.7816,1,"19/09/2025, 09:16:35",,,,
10,trial,C10,11,Female,touch,touch,1,10,10,898.61,232.59,157.44,508.51,153,514,790.86,40,1015,4.3765,4.3119,1,"19/09/2025, 09:16:36",,,,
11,trial,C10,11,Female,touch,touch,2,1,11,157.44,508.51,542.19,422.23,542,420,394.31,27,600,3.9638,6.6064,1,"19/09/2025, 09:16:38",,,,
12,trial,C10,11,Female,touch,touch,2,2,12,542.19,422.23,782.13,164.86,785,171,351.87,40,599,3.2923,5.4964,1,"19/09/2025, 09:16:39",,,,
13,trial,C10,11,Female,touch,touch,2,3,13,782.13,164.86,877,253.97,868,247,130.15,40,583,2.0888,3.5828,1,"19/09/2025, 09:16:41",,,,
14,trial,C10,11,Female,touch,touch,2,4,14,877,253.97,239.93,521.25,226,524,690.87,40,649,4.1915,6.4585,1,"19/09/2025, 09:16:42",,,,
15,trial,C10,11,Female,touch,touch,2,5,15,239.93,521.25,953.7,545.03,963,548,714.17,27,667,4.7788,7.1646,1,"19/09/2025, 09:16:44",,,,
16,trial,C10,11,Female,touch,touch,2,6,16,953.7,545.03,389.53,487.1,391,487,567.13,54,549,3.5239,6.4187,1,"19/09/2025, 09:16:45",,,,
17,trial,C10,11,Female,touch,touch,2,7,17,389.53,487.1,121.22,86.14,130,80,482.46,54,734,3.3124,4.5128,1,"19/09/2025, 09:16:47",,,,
18,trial,C10,11,Female,touch,touch,2,8,18,121.22,86.14,418.22,498.32,427,489,508.04,40,781,3.7762,4.8351,1,"19/09/2025, 09:16:48",,,,
19,trial,C10,11,Female,touch,touch,2,9,19,418.22,498.32,749.11,486.09,767,499,331.12,40,517,3.2138,6.2163,0,"19/09/2025, 09:16:50",,,,
20,trial,C10,11,Female,touch,touch,2,10,20,749.11,486.09,555.31,297.48,566,314,270.43,54,583,2.5869,4.4372,1,"19/09/2025, 09:16:51",,,,
21,summary,C10,11,Female,touch,touch,,,,,,,,,,,,,,,,,20,650.55,5.1118,10
22,summary,C10,11,Female,touch,ALL,,,,,,,,,,,,,,,,,20,650.55,5.1118,10
