row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C05,8,Male,touch,touch,1,1,1,566.5,335,911.41,330.32,911,321,344.94,54,586,2.8851,4.9234,1,"05/09/2025, 11:30:08",,,,
2,trial,C05,8,Male,touch,touch,1,2,2,911.41,330.32,151.79,481.69,142,496,774.55,54,696,3.9396,5.6603,1,"05/09/2025, 11:30:09",,,,
3,trial,C05,8,Male,touch,touch,1,3,3,151.79,481.69,779.01,183.17,773,194,694.64,27,717,4.7402,6.6112,1,"05/09/2025, 11:30:11",,,,
4,trial,C05,8,Male,touch,touch,1,4,4,779.01,183.17,579.64,362.57,571,379,268.19,27,849,3.4506,4.0644,0,"05/09/2025, 11:30:12",,,,
5,trial,C05,8,Male,touch,touch,1,5,5,579.64,362.57,533.83,318.19,531,314,63.78,27,516,1.7494,3.3903,1,"05/09/2025, 11:30:14",,,,
6,trial,C05,8,Male,touch,touch,1,6,6,533.83,318.19,593.91,100.18,616,76,226.14,40,698,2.7341,3.9171,0,"05/09/2025, 11:30:15",,,,
7,trial,C05,8,Male,touch,touch,1,7,7,593.91,100.18,1007.63,360.56,988,373,488.84,54,617,3.3295,5.3963,1,"05/09/2025, 11:30:17",,,,
8,trial,C05,8,Male,touch,touch,1,8,8,1007.63,360.56,1015.25,194.49,994,198,166.25,54,768,2.0281,2.6408,1,"05/09/2025, 11:30:18",,,,
9,trial,C05,8,Male,touch,touch,1,9,9,1015.25,194.49,666.68,446.07,654,455,429.88,27,649,4.0808,6.2878,0,"05/09/2025, 11:30:20",,,,
10,trial,C05,8,Male,touch,touch,1,10,10,666.68,446.07,892.07,308.69,897,314,263.96,54,533,2.5578,4.7989,1,"05/09/2025, 11:30:21",,,,
11,trial,C05,8,Male,touch,touch,2,1,11,892.07,308.69,124.07,171.43,104,157,780.16,54,1216,3.9493,3.2478,1,"05/09/2025, 11:30:23",,,,
12,trial,C05,8,Male,touch,touch,2,2,12,124.07,171.43,521.63,624.1,517,621,602.46,27,1416,4.5431,3.2084,1,"05/09/2025, 11:30:24",,,,
13,trial,C05,8,Male,touch,touch,2,3,13,521.63,624.1,499.67,236.82,498,234,387.9,27,717,3.9417,5.4975,1,"05/09/2025, 11:30:26",,,,
14,trial,C05,8,Male,touch,touch,2,4,14,499.67,236.82,865.66,81.07,845,106,397.75,27,983,3.9756,4.0443,0,"05/09/2025, 11:30:27",,,,
15,trial,C05,8,Male,touch,touch,2,5,15,865.66,81.07,301.81,362.38,364,389,630.12,40,783,4.0664,5.1933,0,"05/09/2025, 11:30:29",,,,
16,trial,C05,8,Male,touch,touch,2,6,16,301.81,362.38,1026.4,483.09,951,507,734.58,27,733,4.818,6.5729,0,"05/09/2025, 11:30:30",,,,
17,trial,C05,8,Male,touch,touch,2,7,17,1026.4,483.09,696.08,493.09,708,498,330.47,54,632,2.8318,4.4808,1,"05/09/2025, 11:30:32",,,,
18,trial,C05,8,Male,touch,touch,2,8,18,696.08,493.09,302.03,566.8,316,568,400.89,40,1366,3.4623,2.5347,1,"05/09/2025, 11:30:33",,,,
19,trial,C05,8,Male,touch,touch,2,9,19,302.03,566.8,986.57,265.16,999,257,748.05,27,933,4.8433,5.1911,0,"05/09/2025, 11:30:35",,,,
20,trial,C05,8,Male,touch,touch,2,10,20,986.57,265.16,526.62,395.86,532,397,478.16,27,881,4.2257,4.7965,1,"05/09/2025, 11:30:36",,,,
21,summary,C05,8,Male,touch,touch,,,,,,,,,,,,,,,,,20,814.45,4.6229,35
22,summary,C05,8,Male,touch,ALL,,,,,,,,,,,,,,,,,20,814.45,4.6229,35
