row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C19,9,Female,touch,touch,1,1,1,566.5,335,568.16,253.04,574,247,81.98,40,668,1.6086,2.4081,1,"03/12/2025, 20:04:09",,,,
2,trial,C19,9,Female,touch,touch,1,2,2,568.16,253.04,1004.56,250.05,1014,243,436.42,27,702,4.1013,5.8423,1,"03/12/2025, 20:04:10",,,,
3,trial,C19,9,Female,touch,touch,1,3,3,1004.56,250.05,928.12,143.68,927,136,130.99,54,628,1.7764,2.8287,1,"03/12/2025, 20:04:12",,,,
4,trial,C19,9,Female,touch,touch,1,4,4,928.12,143.68,1009.55,385.53,1011,376,255.19,27,681,3.3857,4.9716,1,"03/12/2025, 20:04:13",,,,
5,trial,C19,9,Female,touch,touch,1,5,5,1009.55,385.53,243.17,347.68,238,353,767.31,40,866,4.3351,5.0058,1,"03/12/2025, 20:04:15",,,,
6,trial,C19,9,Female,touch,touch,1,6,6,243.17,347.68,1060.18,374.04,1069,371,817.44,27,668,4.967,7.4356,1,"03/12/2025, 20:04:16",,,,
7,trial,C19,9,Female,touch,touch,1,7,7,1060.18,374.04,238.26,413.35,256,416,822.87,40,633,4.4311,7.0001,1,"03/12/2025, 20:04:18",,,,
8,trial,C19,9,Female,touch,touch,1,8,8,238.26,413.35,642.14,87.88,650,107,518.7,54,600,3.4067,5.6779,1,"03/12/2025, 20:04:19",,,,
9,trial,C19,9,Female,touch,touch,1,9,9,642.14,87.88,1009.66,332.4,1017,341,441.43,27,616,4.1168,6.6831,1,"03/12/2025, 20:04:21",,,,
10,trial,C19,9,Female,touch,touch,1,10,10,1009.66,332.4,697.62,514.5,888,521,361.29,54,333,2.9431,8.8381,0,"03/12/2025, 20:04:22",,,,
11,trial,C19,9,Female,touch,touch,2,1,11,697.62,514.5,734.88,84.39,733,116,431.73,40,698,3.5599,5.1001,0,"03/12/2025, 20:04:24",,,,
12,trial,C19,9,Female,touch,touch,2,2,12,734.88,84.39,120.19,273.98,120,267,643.27,40,733,4.0944,5.5858,1,"03/12/2025, 20:04:25",,,,
13,trial,C19,9,Female,touch,touch,2,3,13,120.19,273.98,738.97,374.49,715,389,626.89,40,584,4.0594,6.951,0,"03/12/2025, 20:04:27",,,,
14,trial,C19,9,Female,touch,touch,2,4,14,738.97,374.49,76.38,259.98,80,252,672.41,27,682,4.6951,6.8843,1,"03/12/2025, 20:04:28",,,,
15,trial,C19,9,Female,touch,touch,2,5,15,76.38,259.98,98.03,451.54,99,462,192.78,54,616,2.1922,3.5588,1,"03/12/2025, 20:04:30",,,,
16,trial,C19,9,Female,touch,touch,2,6,16,98.03,451.54,1061.41,441.51,1054,445,963.43,27,799,5.197,6.5044,1,"03/12/2025, 20:04:31",,,,
17,trial,C19,9,Female,touch,touch,2,7,17,1061.41,441.51,1088,314.66,1080,306,129.61,27,633,2.5361,4.0065,1,"03/12/2025, 20:04:33",,,,
18,trial,C19,9,Female,touch,touch,2,8,18,1088,314.66,1021.63,481.24,1004,533,179.31,40,399,2.4549,6.1527,0,"03/12/2025, 20:04:34",,,,
19,trial,C19,9,Female,touch,touch,2,9,19,1021.63,481.24,301.69,531.15,285,523,721.67,54,716,3.8444,5.3693,1,"03/12/2025, 20:04:36",,,,
20,trial,C19,9,Female,touch,touch,2,10,20,301.69,531.15,656.23,226.24,648,235,467.61,54,715,3.272,4.5762,1,"03/12/2025, 20:04:37",,,,
21,summary,C19,9,Female,touch,touch,,,,,,,,,,,,,,,,,20,648.5,5.569,20
22,summary,C19,9,Female,touch,ALL,,,,,,,,,,,,,,,,,20,648.5,5.569,20
