row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C19,9,Female,mouse,mouse,1,1,1,720,373,1029.26,312.67,1038,296,315.09,45,892,3.0004,3.3636,1,"03/12/2025, 20:07:45",,,,
2,trial,C19,9,Female,mouse,mouse,1,2,2,1029.26,312.67,772.21,650.33,769,636,424.37,60,864,3.0131,3.4874,1,"03/12/2025, 20:07:49",,,,
3,trial,C19,9,Female,mouse,mouse,1,3,3,772.21,650.33,688.33,628.07,692,620,86.78,60,815,1.2907,1.5836,1,"03/12/2025, 20:07:53",,,,
4,trial,C19,9,Female,mouse,mouse,1,4,4,688.33,628.07,1073.31,260.55,1066,257,532.24,60,1383,3.3032,2.3884,1,"03/12/2025, 20:07:58",,,,
5,trial,C19,9,Female,mouse,mouse,1,5,5,1073.31,260.55,801.39,626.29,799,622,455.75,45,1349,3.4761,2.5768,1,"03/12/2025, 20:08:02",,,,
6,trial,C19,9,Female,mouse,mouse,1,6,6,801.39,626.29,170.15,451.37,158,442,655.02,60,1166,3.575,3.066,1,"03/12/2025, 20:08:06",,,,
7,trial,C19,9,Female,mouse,mouse,1,7,7,170.15,451.37,1154.72,419.76,1154,409,985.07,60,1536,4.1225,2.6839,1,"03/12/2025, 20:08:11",,,,
8,trial,C19,9,Female,mouse,mouse,1,8,8,1154.72,419.76,125.22,646.85,122,637,1054.25,45,1164,4.6105,3.9609,1,"03/12/2025, 20:08:15",,,,
9,trial,C19,9,Female,mouse,mouse,1,9,9,125.22,646.85,664.37,406.88,663,399,590.15,45,1967,3.8191,1.9416,1,"03/12/2025, 20:08:19",,,,
10,trial,C19,9,Female,mouse,mouse,1,10,10,664.37,406.88,1004.17,439.76,1002,431,341.38,45,1366,3.102,2.2709,1,"03/12/2025, 20:08:24",,,,
11,trial,C19,9,Female,mouse,mouse,2,1,11,1004.17,439.76,1254.77,312.31,1253,308,281.15,45,1285,2.8575,2.2238,1,"03/12/2025, 20:08:28",,,,
12,trial,C19,9,Female,mouse,mouse,2,2,12,1254.77,312.31,1088.62,317.97,1086,309,166.24,60,1280,1.9148,1.496,1,"03/12/2025, 20:08:32",,,,
13,trial,C19,9,Female,mouse,mouse,2,3,13,1088.62,317.97,331.73,99.84,329,92,787.7,30,1266,4.7685,3.7666,1,"03/12/2025, 20:08:37",,,,
14,trial,C19,9,Female,mouse,mouse,2,4,14,331.73,99.84,620.94,634.42,618,629,607.8,60,1366,3.4764,2.5449,1,"03/12/2025, 20:08:41",,,,
15,trial,C19,9,Female,mouse,mouse,2,5,15,620.94,634.42,1201.86,339.3,1198,331,651.58,45,1316,3.9523,3.0033,1,"03/12/2025, 20:08:45",,,,
16,trial,C19,9,Female,mouse,mouse,2,6,16,1201.86,339.3,311.33,280.81,310,274,892.45,45,1148,4.3807,3.816,1,"03/12/2025, 20:08:50",,,,
17,trial,C19,9,Female,mouse,mouse,2,7,17,311.33,280.81,1082.88,592.88,1080,583,832.27,60,1250,3.8944,3.1156,1,"03/12/2025, 20:08:54",,,,
18,trial,C19,9,Female,mouse,mouse,2,8,18,1082.88,592.88,1045.29,426.45,1041,416,170.62,45,1149,2.2605,1.9673,1,"03/12/2025, 20:08:58",,,,
19,trial,C19,9,Female,mouse,mouse,2,9,19,1045.29,426.45,1349.43,493.3,1347,486,311.39,30,1535,3.5084,2.2856,1,"03/12/2025, 20:09:03",,,,
20,trial,C19,9,Female,mouse,mouse,2,10,20,1349.43,493.3,442.82,385.84,443,377,912.96,60,1167,4.0193,3.4442,1,"03/12/2025, 20:09:07",,,,
21,summary,C19,9,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1263.2,2.7493,0
22,summary,C19,9,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1263.2,2.7493,0
