row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C24,8,Female,mouse,mouse,1,1,1,720,373,916.76,130.68,912,122,312.15,45,1598,2.9885,1.8702,1,"17/12/2025, 15:07:25",,,,
2,trial,C24,8,Female,mouse,mouse,1,2,2,916.76,130.68,1216.93,437.11,1234,426,428.96,60,1095,3.0267,2.7641,1,"17/12/2025, 15:07:29",,,,
3,trial,C24,8,Female,mouse,mouse,1,3,3,1216.93,437.11,703.47,312.68,734,299,528.32,60,799,3.2936,4.1221,0,"17/12/2025, 15:07:33",,,,
4,trial,C24,8,Female,mouse,mouse,1,4,4,703.47,312.68,410.88,637.01,437,641,436.81,30,1258,3.9598,3.1477,0,"17/12/2025, 15:07:38",,,,
5,trial,C24,8,Female,mouse,mouse,1,5,5,410.88,637.01,1211.97,117.29,1193,117,954.91,45,1293,4.4738,3.46,1,"17/12/2025, 15:07:42",,,,
6,trial,C24,8,Female,mouse,mouse,1,6,6,1211.97,117.29,1194.59,487.27,1207,496,370.39,30,1917,3.7384,1.9501,0,"17/12/2025, 15:07:46",,,,
7,trial,C24,8,Female,mouse,mouse,1,7,7,1194.59,487.27,217.3,224.91,231,230,1011.9,45,1296,4.5538,3.5137,1,"17/12/2025, 15:07:51",,,,
8,trial,C24,8,Female,mouse,mouse,1,8,8,217.3,224.91,791.79,323.18,795,334,582.84,45,1485,3.8024,2.5605,1,"17/12/2025, 15:07:55",,,,
9,trial,C24,8,Female,mouse,mouse,1,9,9,791.79,323.18,449.55,161.35,451,155,378.57,30,2347,3.7676,1.6053,1,"17/12/2025, 15:07:59",,,,
10,trial,C24,8,Female,mouse,mouse,1,10,10,449.55,161.35,321.87,685.93,305,672,539.9,30,1429,4.2477,2.9725,0,"17/12/2025, 15:08:04",,,,
11,trial,C24,8,Female,mouse,mouse,2,1,11,321.87,685.93,164.17,450.79,179,452,283.12,60,1382,2.5157,1.8203,1,"17/12/2025, 15:08:08",,,,
12,trial,C24,8,Female,mouse,mouse,2,2,12,164.17,450.79,817.41,512.21,802,511,656.12,45,2634,3.9617,1.504,1,"17/12/2025, 15:08:12",,,,
13,trial,C24,8,Female,mouse,mouse,2,3,13,817.41,512.21,422.39,512.76,436,511,395.02,45,1199,3.2896,2.7436,1,"17/12/2025, 15:08:17",,,,
14,trial,C24,8,Female,mouse,mouse,2,4,14,422.39,512.76,502.14,558.25,508,580,91.81,30,1267,2.0216,1.5956,0,"17/12/2025, 15:08:21",,,,
15,trial,C24,8,Female,mouse,mouse,2,5,15,502.14,558.25,481.46,217.05,489,250,341.82,30,1149,3.6316,3.1606,0,"17/12/2025, 15:08:25",,,,
16,trial,C24,8,Female,mouse,mouse,2,6,16,481.46,217.05,748.56,386.23,747,388,316.17,30,1749,3.5285,2.0174,1,"17/12/2025, 15:08:30",,,,
17,trial,C24,8,Female,mouse,mouse,2,7,17,748.56,386.23,908.08,480.09,911,485,185.08,30,1300,2.8419,2.1861,1,"17/12/2025, 15:08:34",,,,
18,trial,C24,8,Female,mouse,mouse,2,8,18,908.08,480.09,1102.8,577.05,1099,573,217.52,60,2252,2.2096,0.9812,1,"17/12/2025, 15:08:38",,,,
19,trial,C24,8,Female,mouse,mouse,2,9,19,1102.8,577.05,974.51,631.78,968,629,139.47,45,1448,2.0354,1.4057,1,"17/12/2025, 15:08:43",,,,
20,trial,C24,8,Female,mouse,mouse,2,10,20,974.51,631.78,373.51,351.99,370,351,662.94,45,1365,3.9756,2.9125,1,"17/12/2025, 15:08:47",,,,
21,summary,C24,8,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1513.1,2.4147,30
22,summary,C24,8,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1513.1,2.4147,30
