row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C20,5,Male,mouse,mouse,1,1,1,720,373,892.74,79.43,703,579,340.62,30,597,3.6269,6.0752,0,"06/12/2025, 17:41:00",,,,
2,trial,C20,5,Male,mouse,mouse,1,2,2,892.74,79.43,784.47,595.85,829,593,527.65,60,3064,3.2919,1.0744,0,"06/12/2025, 17:41:04",,,,
3,trial,C20,5,Male,mouse,mouse,1,3,3,784.47,595.85,294.99,557.86,303,548,490.96,45,1252,3.5741,2.8547,1,"06/12/2025, 17:41:08",,,,
4,trial,C20,5,Male,mouse,mouse,1,4,4,294.99,557.86,1207.41,617.58,1209,634,914.38,45,7680,4.4141,0.5748,1,"06/12/2025, 17:41:13",,,,
5,trial,C20,5,Male,mouse,mouse,1,5,5,1207.41,617.58,1199.94,181.01,1208,195,436.63,45,5803,3.4199,0.5893,1,"06/12/2025, 17:41:17",,,,
6,trial,C20,5,Male,mouse,mouse,1,6,6,1199.94,181.01,1184.3,602.59,1210,506,421.86,60,1165,3.0056,2.5799,0,"06/12/2025, 17:41:21",,,,
7,trial,C20,5,Male,mouse,mouse,1,7,7,1184.3,602.59,727.73,206.91,731,211,604.17,30,4932,4.4018,0.8925,1,"06/12/2025, 17:41:26",,,,
8,trial,C20,5,Male,mouse,mouse,1,8,8,727.73,206.91,519.06,386.11,539,415,275.06,45,1681,2.8303,1.6837,0,"06/12/2025, 17:41:30",,,,
9,trial,C20,5,Male,mouse,mouse,1,9,9,519.06,386.11,1194.2,521.35,1208,501,688.55,60,3317,3.6411,1.0977,1,"06/12/2025, 17:41:34",,,,
10,trial,C20,5,Male,mouse,mouse,1,10,10,1194.2,521.35,229.76,291.47,220,302,991.45,45,6595,4.5256,0.6862,1,"06/12/2025, 17:41:39",,,,
11,trial,C20,5,Male,mouse,mouse,2,1,11,229.76,291.47,814.76,496.95,838,499,620.04,60,4221,3.5026,0.8298,1,"06/12/2025, 17:41:43",,,,
12,trial,C20,5,Male,mouse,mouse,2,2,12,814.76,496.95,516.81,328.3,523,332,342.37,45,1997,3.1057,1.5552,1,"06/12/2025, 17:41:47",,,,
13,trial,C20,5,Male,mouse,mouse,2,3,13,516.81,328.3,1138.07,502.62,1142,485,645.25,45,1684,3.9391,2.3391,1,"06/12/2025, 17:41:52",,,,
14,trial,C20,5,Male,mouse,mouse,2,4,14,1138.07,502.62,370.64,85.5,368,81,873.46,45,3651,4.3512,1.1918,1,"06/12/2025, 17:41:56",,,,
15,trial,C20,5,Male,mouse,mouse,2,5,15,370.64,85.5,1189.21,487.43,1201,483,911.92,45,4430,4.4104,0.9956,1,"06/12/2025, 17:42:00",,,,
16,trial,C20,5,Male,mouse,mouse,2,6,16,1189.21,487.43,283.22,266.02,268,268,932.66,45,2337,4.4413,1.9004,1,"06/12/2025, 17:42:05",,,,
17,trial,C20,5,Male,mouse,mouse,2,7,17,283.22,266.02,686.12,360.19,702,375,413.76,30,3196,3.8867,1.2161,0,"06/12/2025, 17:42:09",,,,
18,trial,C20,5,Male,mouse,mouse,2,8,18,686.12,360.19,104.03,93.07,181,131,640.45,60,1183,3.5452,2.9968,0,"06/12/2025, 17:42:13",,,,
19,trial,C20,5,Male,mouse,mouse,2,9,19,104.03,93.07,776.35,610.51,775,623,848.38,30,2267,4.8718,2.149,1,"06/12/2025, 17:42:18",,,,
20,trial,C20,5,Male,mouse,mouse,2,10,20,776.35,610.51,195.66,528,204,530,586.52,30,2831,4.3611,1.5405,1,"06/12/2025, 17:42:22",,,,
21,summary,C20,5,Male,mouse,mouse,,,,,,,,,,,,,,,,,20,3194.15,1.7411,30
22,summary,C20,5,Male,mouse,ALL,,,,,,,,,,,,,,,,,20,3194.15,1.7411,30
