row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C15,3,Female,mouse,mouse,1,1,1,720,373,220.55,317.85,226,317,502.48,30,7806,4.1497,0.5316,1,"19/11/2025, 14:19:20",,,,
2,trial,C15,3,Female,mouse,mouse,1,2,2,220.55,317.85,586.99,243.24,585,245,373.96,30,6651,3.7512,0.564,1,"19/11/2025, 14:19:26",,,,
3,trial,C15,3,Female,mouse,mouse,1,3,3,586.99,243.24,136.76,50.89,143,55,489.6,30,2826,4.1144,1.4559,1,"19/11/2025, 14:19:33",,,,
4,trial,C15,3,Female,mouse,mouse,1,4,4,136.76,50.89,448.1,385.12,331,234,456.78,60,1982,3.1065,1.5674,0,"19/11/2025, 14:19:38",,,,
5,trial,C15,3,Female,mouse,mouse,1,5,5,448.1,385.12,498.93,630.32,480,553,250.41,45,3484,2.7147,0.7792,0,"19/11/2025, 14:19:45",,,,
6,trial,C15,3,Female,mouse,mouse,1,6,6,498.93,630.32,1216.11,210.66,1198,227,830.95,60,4866,3.8923,0.7999,1,"19/11/2025, 14:19:51",,,,
7,trial,C15,3,Female,mouse,mouse,1,7,7,1216.11,210.66,498.87,365.79,406,416,733.83,45,5332,4.1133,0.7714,0,"19/11/2025, 14:19:58",,,,
8,trial,C15,3,Female,mouse,mouse,1,8,8,498.87,365.79,828.17,611.99,800,617,411.16,60,4232,2.9732,0.7025,1,"19/11/2025, 14:20:04",,,,
9,trial,C15,3,Female,mouse,mouse,1,9,9,828.17,611.99,908.72,165.21,906,159,453.98,60,6934,3.0987,0.4469,1,"19/11/2025, 14:20:11",,,,
10,trial,C15,3,Female,mouse,mouse,1,10,10,908.72,165.21,618.06,610.32,616,606,531.61,45,4468,3.6796,0.8235,1,"19/11/2025, 14:20:18",,,,
11,trial,C15,3,Female,mouse,mouse,2,1,11,618.06,610.32,766.04,642.47,714,651,151.43,60,1931,1.8171,0.941,0,"19/11/2025, 14:20:24",,,,
12,trial,C15,3,Female,mouse,mouse,2,2,12,766.04,642.47,777.6,288.85,770,333,353.81,45,2232,3.1477,1.4103,0,"19/11/2025, 14:20:31",,,,
13,trial,C15,3,Female,mouse,mouse,2,3,13,777.6,288.85,632.14,390.69,629,385,177.57,60,4985,1.9853,0.3983,1,"19/11/2025, 14:20:39",,,,
14,trial,C15,3,Female,mouse,mouse,2,4,14,632.14,390.69,1311.77,527.39,1311,540,693.25,60,12230,3.6501,0.2985,1,"19/11/2025, 14:20:45",,,,
15,trial,C15,3,Female,mouse,mouse,2,5,15,1311.77,527.39,983.69,105.47,996,151,534.46,45,2116,3.6867,1.7423,0,"19/11/2025, 14:20:52",,,,
16,trial,C15,3,Female,mouse,mouse,2,6,16,983.69,105.47,708.87,285.42,987,200,328.49,45,449,3.0531,6.7997,0,"19/11/2025, 14:20:59",,,,
17,trial,C15,3,Female,mouse,mouse,2,7,17,708.87,285.42,1250.63,211.02,1242,235,546.84,60,2766,3.3383,1.2069,1,"19/11/2025, 14:21:05",,,,
18,trial,C15,3,Female,mouse,mouse,2,8,18,1250.63,211.02,566.24,127.9,610,112,689.42,60,1283,3.6427,2.8392,0,"19/11/2025, 14:21:12",,,,
19,trial,C15,3,Female,mouse,mouse,2,9,19,566.24,127.9,246.79,559.49,234,550,536.95,45,2502,3.6929,1.476,1,"19/11/2025, 14:21:19",,,,
20,trial,C15,3,Female,mouse,mouse,2,10,20,246.79,559.49,1235.55,289.73,1201,316,1024.89,45,3082,4.5714,1.4833,0,"19/11/2025, 14:21:26",,,,
21,summary,C15,3,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,4107.85,1.3519,45
22,summary,C15,3,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,4107.85,1.3519,45
