row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C01,9,Female,mouse,mouse,1,1,1,720,373,1270.68,376.9,1267,380,550.7,30,2013,4.2747,2.1236,1,"24/08/2025, 15:40:24",,,,
2,trial,C01,9,Female,mouse,mouse,1,2,2,1270.68,376.9,87.48,564.23,92,560,1197.94,45,1619,4.7877,2.9572,1,"24/08/2025, 15:40:26",,,,
3,trial,C01,9,Female,mouse,mouse,1,3,3,87.48,564.23,1314.92,432.96,1309,423,1234.44,45,1848,4.8294,2.6133,1,"24/08/2025, 15:40:28",,,,
4,trial,C01,9,Female,mouse,mouse,1,4,4,1314.92,432.96,450.12,314.21,453,317,872.92,30,1430,4.9116,3.4347,1,"24/08/2025, 15:40:31",,,,
5,trial,C01,9,Female,mouse,mouse,1,5,5,450.12,314.21,1043.2,424.27,1044,429,603.21,30,1234,4.3997,3.5654,1,"24/08/2025, 15:40:33",,,,
6,trial,C01,9,Female,mouse,mouse,1,6,6,1043.2,424.27,1112.55,312.06,1111,313,131.9,30,1118,2.4321,2.1754,1,"24/08/2025, 15:40:35",,,,
7,trial,C01,9,Female,mouse,mouse,1,7,7,1112.55,312.06,782.18,366.4,779,365,334.81,30,1132,3.6041,3.1839,1,"24/08/2025, 15:40:38",,,,
8,trial,C01,9,Female,mouse,mouse,1,8,8,782.18,366.4,1106.05,301.79,1095,307,330.25,60,819,2.7014,3.2984,1,"24/08/2025, 15:40:40",,,,
9,trial,C01,9,Female,mouse,mouse,1,9,9,1106.05,301.79,558.37,102.25,587,143,582.89,60,1378,3.4215,2.483,0,"24/08/2025, 15:40:42",,,,
10,trial,C01,9,Female,mouse,mouse,1,10,10,558.37,102.25,843.05,128.92,842,127,285.93,60,1051,2.5274,2.4048,1,"24/08/2025, 15:40:45",,,,
11,trial,C01,9,Female,mouse,mouse,2,1,11,843.05,128.92,554.48,213.44,555,209,300.7,30,1200,3.4625,2.8854,1,"24/08/2025, 15:40:47",,,,
12,trial,C01,9,Female,mouse,mouse,2,2,12,554.48,213.44,1232.51,552.89,1239,564,758.25,60,1183,3.7695,3.1864,1,"24/08/2025, 15:40:49",,,,
13,trial,C01,9,Female,mouse,mouse,2,3,13,1232.51,552.89,465.31,441.23,466,432,775.28,45,1032,4.1881,4.0583,1,"24/08/2025, 15:40:52",,,,
14,trial,C01,9,Female,mouse,mouse,2,4,14,465.31,441.23,332.81,73.21,336,77,391.14,30,1166,3.8113,3.2687,1,"24/08/2025, 15:40:54",,,,
15,trial,C01,9,Female,mouse,mouse,2,5,15,332.81,73.21,1140.36,117.97,1139,119,808.79,45,949,4.2459,4.4741,1,"24/08/2025, 15:40:56",,,,
16,trial,C01,9,Female,mouse,mouse,2,6,16,1140.36,117.97,438.5,149.25,432,139,702.56,30,1267,4.6099,3.6384,1,"24/08/2025, 15:40:59",,,,
17,trial,C01,9,Female,mouse,mouse,2,7,17,438.5,149.25,693.74,433.09,693,437,381.73,30,1099,3.7787,3.4383,1,"24/08/2025, 15:41:01",,,,
18,trial,C01,9,Female,mouse,mouse,2,8,18,693.74,433.09,384.29,477,400,471,312.55,45,1034,2.9902,2.8918,1,"24/08/2025, 15:41:03",,,,
19,trial,C01,9,Female,mouse,mouse,2,9,19,384.29,477,166.21,614.4,161,608,257.75,60,983,2.4049,2.4465,1,"24/08/2025, 15:41:06",,,,
20,trial,C01,9,Female,mouse,mouse,2,10,20,166.21,614.4,770.6,102.22,772,88,792.23,45,1181,4.2176,3.5712,1,"24/08/2025, 15:41:08",,,,
21,summary,C01,9,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1236.8,3.1049,5
22,summary,C01,9,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1236.8,3.1049,5
