row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C17,5,Female,mouse,mouse,1,1,1,720,373,233.27,642.02,225,630,556.13,45,2576,3.7397,1.4517,1,"25/11/2025, 17:24:30",,,,
2,trial,C17,5,Female,mouse,mouse,1,2,2,233.27,642.02,984.19,359.19,990,346,802.42,60,1633,3.8454,2.3548,1,"25/11/2025, 17:24:34",,,,
3,trial,C17,5,Female,mouse,mouse,1,3,3,984.19,359.19,1221.06,530.92,1229,527,292.57,45,1516,2.9072,1.9177,1,"25/11/2025, 17:24:38",,,,
4,trial,C17,5,Female,mouse,mouse,1,4,4,1221.06,530.92,724.77,290.63,734,294,551.4,30,1466,4.2765,2.9171,1,"25/11/2025, 17:24:42",,,,
5,trial,C17,5,Female,mouse,mouse,1,5,5,724.77,290.63,870.49,198.57,860,192,172.37,45,3583,2.2721,0.6341,1,"25/11/2025, 17:24:47",,,,
6,trial,C17,5,Female,mouse,mouse,1,6,6,870.49,198.57,614.65,505.85,643,510,399.85,45,2936,3.3053,1.1258,0,"25/11/2025, 17:24:51",,,,
7,trial,C17,5,Female,mouse,mouse,1,7,7,614.65,505.85,385.71,126.94,401,153,442.71,45,1294,3.438,2.6569,0,"25/11/2025, 17:24:55",,,,
8,trial,C17,5,Female,mouse,mouse,1,8,8,385.71,126.94,931.53,236.33,926,249,556.68,45,1900,3.741,1.9689,1,"25/11/2025, 17:25:00",,,,
9,trial,C17,5,Female,mouse,mouse,1,9,9,931.53,236.33,292.51,330.71,300,333,645.95,45,2066,3.9406,1.9074,1,"25/11/2025, 17:25:04",,,,
10,trial,C17,5,Female,mouse,mouse,1,10,10,292.51,330.71,239.27,646.41,245,647,320.16,45,2034,3.0205,1.485,1,"25/11/2025, 17:25:08",,,,
11,trial,C17,5,Female,mouse,mouse,2,1,11,239.27,646.41,252.16,441.38,248,453,205.43,30,1934,2.9723,1.5369,1,"25/11/2025, 17:25:13",,,,
12,trial,C17,5,Female,mouse,mouse,2,2,12,252.16,441.38,54.09,574.51,79,570,238.65,30,1312,3.1627,2.4106,0,"25/11/2025, 17:25:17",,,,
13,trial,C17,5,Female,mouse,mouse,2,3,13,54.09,574.51,1160.3,373.25,1143,385,1124.37,45,2519,4.6997,1.8657,1,"25/11/2025, 17:25:21",,,,
14,trial,C17,5,Female,mouse,mouse,2,4,14,1160.3,373.25,1173.86,380.66,1150,386,15.45,60,1083,0.3306,0.3053,1,"25/11/2025, 17:25:26",,,,
15,trial,C17,5,Female,mouse,mouse,2,5,15,1173.86,380.66,504.69,556.39,507,554,691.86,30,1551,4.5887,2.9585,1,"25/11/2025, 17:25:30",,,,
16,trial,C17,5,Female,mouse,mouse,2,6,16,504.69,556.39,68.76,80.25,96,109,645.56,45,1543,3.9398,2.5533,0,"25/11/2025, 17:25:34",,,,
17,trial,C17,5,Female,mouse,mouse,2,7,17,68.76,80.25,1222.58,438.01,1215,445,1208.02,30,2217,5.3669,2.4208,1,"25/11/2025, 17:25:39",,,,
18,trial,C17,5,Female,mouse,mouse,2,8,18,1222.58,438.01,1050,248.95,1045,251,255.99,45,1285,2.7417,2.1336,1,"25/11/2025, 17:25:43",,,,
19,trial,C17,5,Female,mouse,mouse,2,9,19,1050,248.95,897.92,592.47,883,578,375.68,45,1080,3.2247,2.9859,1,"25/11/2025, 17:25:48",,,,
20,trial,C17,5,Female,mouse,mouse,2,10,20,897.92,592.47,514.31,286.64,497,284,490.6,45,1349,3.5732,2.6487,1,"25/11/2025, 17:25:52",,,,
21,summary,C17,5,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1843.85,2.0119,20
22,summary,C17,5,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1843.85,2.0119,20
