row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C16,12,Male,mouse,mouse,1,1,1,720,373,660.2,461.72,655,464,106.99,60,822,1.4767,1.7965,1,"20/11/2025, 18:26:15",,,,
2,trial,C16,12,Male,mouse,mouse,1,2,2,660.2,461.72,1207.3,107.65,1182,121,651.68,60,1356,3.5682,2.6314,1,"20/11/2025, 18:26:19",,,,
3,trial,C16,12,Male,mouse,mouse,1,3,3,1207.3,107.65,923.96,659.88,924,657,620.67,30,1284,4.4389,3.4571,1,"20/11/2025, 18:26:23",,,,
4,trial,C16,12,Male,mouse,mouse,1,4,4,923.96,659.88,224.79,177.17,221,173,849.62,45,1050,4.3133,4.1079,1,"20/11/2025, 18:26:27",,,,
5,trial,C16,12,Male,mouse,mouse,1,5,5,224.79,177.17,160.59,407.35,158,404,238.97,45,900,2.6577,2.953,1,"20/11/2025, 18:26:31",,,,
6,trial,C16,12,Male,mouse,mouse,1,6,6,160.59,407.35,1021.56,625.36,1019,630,888.15,60,933,3.9821,4.268,1,"20/11/2025, 18:26:35",,,,
7,trial,C16,12,Male,mouse,mouse,1,7,7,1021.56,625.36,1032.3,636.73,1029,634,15.64,30,948,0.6053,0.6385,1,"20/11/2025, 18:26:38",,,,
8,trial,C16,12,Male,mouse,mouse,1,8,8,1032.3,636.73,961.4,419.17,956,410,228.83,30,917,3.1089,3.3903,1,"20/11/2025, 18:26:42",,,,
9,trial,C16,12,Male,mouse,mouse,1,9,9,961.4,419.17,1139.75,418.17,1131,415,178.36,60,950,1.9901,2.0948,1,"20/11/2025, 18:26:46",,,,
10,trial,C16,12,Male,mouse,mouse,1,10,10,1139.75,418.17,658.13,354.32,653,350,485.84,45,866,3.5603,4.1112,1,"20/11/2025, 18:26:50",,,,
11,trial,C16,12,Male,mouse,mouse,2,1,11,658.13,354.32,366.68,407.69,366,403,296.3,30,949,3.4432,3.6282,1,"20/11/2025, 18:26:54",,,,
12,trial,C16,12,Male,mouse,mouse,2,2,12,366.68,407.69,466.64,583.45,475,579,202.19,60,949,2.1276,2.2419,1,"20/11/2025, 18:26:58",,,,
13,trial,C16,12,Male,mouse,mouse,2,3,13,466.64,583.45,1305.38,648.15,1308,651,841.23,45,1132,4.2997,3.7983,1,"20/11/2025, 18:27:02",,,,
14,trial,C16,12,Male,mouse,mouse,2,4,14,1305.38,648.15,764.23,379.09,767,376,604.35,30,1117,4.4022,3.9411,1,"20/11/2025, 18:27:06",,,,
15,trial,C16,12,Male,mouse,mouse,2,5,15,764.23,379.09,1341.96,352.53,1346,345,578.34,30,1333,4.3418,3.2572,1,"20/11/2025, 18:27:10",,,,
16,trial,C16,12,Male,mouse,mouse,2,6,16,1341.96,352.53,1055.67,493.69,1047,492,319.2,45,866,3.0167,3.4835,1,"20/11/2025, 18:27:14",,,,
17,trial,C16,12,Male,mouse,mouse,2,7,17,1055.67,493.69,364.54,401.13,356,399,697.3,30,1266,4.5995,3.6331,1,"20/11/2025, 18:27:18",,,,
18,trial,C16,12,Male,mouse,mouse,2,8,18,364.54,401.13,109.36,335.34,106,339,263.53,45,1366,2.7774,2.0332,1,"20/11/2025, 18:27:22",,,,
19,trial,C16,12,Male,mouse,mouse,2,9,19,109.36,335.34,749.43,398.2,743,387,643.16,60,1166,3.5508,3.0453,1,"20/11/2025, 18:27:26",,,,
20,trial,C16,12,Male,mouse,mouse,2,10,20,749.43,398.2,93.44,320.98,96,316,660.52,30,1383,4.5246,3.2716,1,"20/11/2025, 18:27:30",,,,
21,summary,C16,12,Male,mouse,mouse,,,,,,,,,,,,,,,,,20,1077.65,3.0891,0
22,summary,C16,12,Male,mouse,ALL,,,,,,,,,,,,,,,,,20,1077.65,3.0891,0
