row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C23,11,Male,mouse,mouse,1,1,1,720,373,531.97,84.67,529,83,344.23,30,1331,3.6409,2.7354,1,"17/12/2025, 14:59:20",,,,
2,trial,C23,11,Male,mouse,mouse,1,2,2,531.97,84.67,375.37,439.92,367,432,388.24,60,979,2.9012,2.9635,1,"17/12/2025, 14:59:24",,,,
3,trial,C23,11,Male,mouse,mouse,1,3,3,375.37,439.92,174.16,50.01,168,51,438.77,30,900,3.9659,4.4065,1,"17/12/2025, 14:59:28",,,,
4,trial,C23,11,Male,mouse,mouse,1,4,4,174.16,50.01,403.92,431.38,400,425,445.24,45,882,3.4455,3.9065,1,"17/12/2025, 14:59:33",,,,
5,trial,C23,11,Male,mouse,mouse,1,5,5,403.92,431.38,1082.68,140.94,1076,124,738.28,60,1033,3.7339,3.6146,1,"17/12/2025, 14:59:37",,,,
6,trial,C23,11,Male,mouse,mouse,1,6,6,1082.68,140.94,362.44,321.2,362,309,742.46,30,1067,4.6864,4.3921,1,"17/12/2025, 14:59:41",,,,
7,trial,C23,11,Male,mouse,mouse,1,7,7,362.44,321.2,588.15,119.37,596,120,302.79,45,917,2.9502,3.2172,1,"17/12/2025, 14:59:46",,,,
8,trial,C23,11,Male,mouse,mouse,1,8,8,588.15,119.37,1204.68,489.88,1201,490,719.3,45,1281,4.0861,3.1898,1,"17/12/2025, 14:59:50",,,,
9,trial,C23,11,Male,mouse,mouse,1,9,9,1204.68,489.88,425.46,162.99,424,160,845.01,45,1082,4.3058,3.9795,1,"17/12/2025, 14:59:54",,,,
10,trial,C23,11,Male,mouse,mouse,1,10,10,425.46,162.99,857.12,223.8,845,212,435.92,60,933,3.0471,3.2659,1,"17/12/2025, 14:59:59",,,,
11,trial,C23,11,Male,mouse,mouse,2,1,11,857.12,223.8,1100.95,498.61,1091,496,367.39,45,766,3.196,4.1723,1,"17/12/2025, 15:00:03",,,,
12,trial,C23,11,Male,mouse,mouse,2,2,12,1100.95,498.61,774.52,112.6,773,100,505.53,30,1018,4.1579,4.0844,1,"17/12/2025, 15:00:07",,,,
13,trial,C23,11,Male,mouse,mouse,2,3,13,774.52,112.6,724.62,507.53,715,532,398.07,60,882,2.9325,3.3249,1,"17/12/2025, 15:00:12",,,,
14,trial,C23,11,Male,mouse,mouse,2,4,14,724.62,507.53,1139.11,617.5,1132,622,428.83,60,1100,3.0263,2.7512,1,"17/12/2025, 15:00:16",,,,
15,trial,C23,11,Male,mouse,mouse,2,5,15,1139.11,617.5,382.95,300.77,388,291,819.8,60,1100,3.8741,3.522,1,"17/12/2025, 15:00:20",,,,
16,trial,C23,11,Male,mouse,mouse,2,6,16,382.95,300.77,1067.18,356.99,1066,357,686.54,30,1233,4.578,3.7129,1,"17/12/2025, 15:00:25",,,,
17,trial,C23,11,Male,mouse,mouse,2,7,17,1067.18,356.99,293.91,296.82,291,293,775.61,60,999,3.7998,3.8036,1,"17/12/2025, 15:00:29",,,,
18,trial,C23,11,Male,mouse,mouse,2,8,18,293.91,296.82,576.33,297.15,576,285,282.42,60,1116,2.5127,2.2515,1,"17/12/2025, 15:00:33",,,,
19,trial,C23,11,Male,mouse,mouse,2,9,19,576.33,297.15,1364.93,378.13,1360,373,792.74,45,1166,4.2185,3.6179,1,"17/12/2025, 15:00:38",,,,
20,trial,C23,11,Male,mouse,mouse,2,10,20,1364.93,378.13,79.14,617.01,74,612,1307.79,30,1336,5.4787,4.1009,1,"17/12/2025, 15:00:42",,,,
21,summary,C23,11,Male,mouse,mouse,,,,,,,,,,,,,,,,,20,1056.05,3.5506,0
22,summary,C23,11,Male,mouse,ALL,,,,,,,,,,,,,,,,,20,1056.05,3.5506,0
