row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C10,11,Female,mouse,mouse,1,1,1,720,373,756.49,534.93,758,536,165.99,30,1040,2.7077,2.6036,1,"19/09/2025, 09:19:55",,,,
2,trial,C10,11,Female,mouse,mouse,1,2,2,756.49,534.93,646.89,70.44,648,77,477.24,45,979,3.5367,3.6126,1,"19/09/2025, 09:19:58",,,,
3,trial,C10,11,Female,mouse,mouse,1,3,3,646.89,70.44,45.34,66.46,48,61,601.57,30,1425,4.3959,3.0848,1,"19/09/2025, 09:20:00",,,,
4,trial,C10,11,Female,mouse,mouse,1,4,4,45.34,66.46,274.01,403.77,274,404,407.52,45,1283,3.33,2.5955,1,"19/09/2025, 09:20:03",,,,
5,trial,C10,11,Female,mouse,mouse,1,5,5,274.01,403.77,359.67,586.26,274,404,201.6,45,92,2.4542,26.6758,0,"19/09/2025, 09:20:06",,,,
6,trial,C10,11,Female,mouse,mouse,1,6,6,359.67,586.26,1019.73,306.11,1017,304,717.05,45,1329,4.0819,3.0714,1,"19/09/2025, 09:20:08",,,,
7,trial,C10,11,Female,mouse,mouse,1,7,7,1019.73,306.11,820.49,415.71,823,417,227.39,45,901,2.5977,2.8831,1,"19/09/2025, 09:20:11",,,,
8,trial,C10,11,Female,mouse,mouse,1,8,8,820.49,415.71,927.8,420.65,925,427,107.42,30,785,2.1956,2.7969,1,"19/09/2025, 09:20:14",,,,
9,trial,C10,11,Female,mouse,mouse,1,9,9,927.8,420.65,390.53,167.5,374,152,593.92,60,900,3.4461,3.829,1,"19/09/2025, 09:20:16",,,,
10,trial,C10,11,Female,mouse,mouse,1,10,10,390.53,167.5,656.46,139.01,652,132,267.46,30,1279,3.3096,2.5877,1,"19/09/2025, 09:20:19",,,,
11,trial,C10,11,Female,mouse,mouse,2,1,11,656.46,139.01,1372.41,533.14,1373,538,817.27,45,1166,4.2601,3.6536,1,"19/09/2025, 09:20:22",,,,
12,trial,C10,11,Female,mouse,mouse,2,2,12,1372.41,533.14,659.01,583.22,651,583,715.15,45,982,4.0783,4.1531,1,"19/09/2025, 09:20:24",,,,
13,trial,C10,11,Female,mouse,mouse,2,3,13,659.01,583.22,827.37,266.36,826,263,358.81,30,1351,3.696,2.7358,1,"19/09/2025, 09:20:27",,,,
14,trial,C10,11,Female,mouse,mouse,2,4,14,827.37,266.36,230.83,480.17,221,475,633.7,45,1032,3.9148,3.7934,1,"19/09/2025, 09:20:30",,,,
15,trial,C10,11,Female,mouse,mouse,2,5,15,230.83,480.17,166.52,221.39,168,216,266.64,45,966,2.7919,2.8902,1,"19/09/2025, 09:20:32",,,,
16,trial,C10,11,Female,mouse,mouse,2,6,16,166.52,221.39,140.33,611.51,142,609,391,30,1550,3.8108,2.4586,1,"19/09/2025, 09:20:35",,,,
17,trial,C10,11,Female,mouse,mouse,2,7,17,140.33,611.51,713.25,479.54,715,481,587.92,60,1248,3.4328,2.7506,1,"19/09/2025, 09:20:38",,,,
18,trial,C10,11,Female,mouse,mouse,2,8,18,713.25,479.54,502.12,390.96,494,387,228.96,45,967,2.606,2.6949,1,"19/09/2025, 09:20:40",,,,
19,trial,C10,11,Female,mouse,mouse,2,9,19,502.12,390.96,1326.87,155.19,1317,144,857.79,60,1232,3.9351,3.1941,1,"19/09/2025, 09:20:43",,,,
20,trial,C10,11,Female,mouse,mouse,2,10,20,1326.87,155.19,1032.52,216.39,1031,211,300.65,45,1300,2.9413,2.2625,1,"19/09/2025, 09:20:46",,,,
21,summary,C10,11,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1090.35,4.2164,5
22,summary,C10,11,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1090.35,4.2164,5
