row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C03,8,Female,mouse,mouse,1,1,1,720,373,1341.17,187.65,1340,175,648.24,45,1073,3.9453,3.6769,1,"24/08/2025, 16:07:40",,,,
2,trial,C03,8,Female,mouse,mouse,1,2,2,1341.17,187.65,758.76,592.85,757,598,709.5,30,1165,4.6235,3.9687,1,"24/08/2025, 16:07:43",,,,
3,trial,C03,8,Female,mouse,mouse,1,3,3,758.76,592.85,239.69,274.29,235,275,609.03,30,1149,4.4129,3.8406,1,"24/08/2025, 16:07:46",,,,
4,trial,C03,8,Female,mouse,mouse,1,4,4,239.69,274.29,137.37,628.44,121,624,368.64,60,1134,2.8367,2.5015,1,"24/08/2025, 16:07:48",,,,
5,trial,C03,8,Female,mouse,mouse,1,5,5,137.37,628.44,840.43,450.91,851,441,725.12,45,1083,4.0971,3.7831,1,"24/08/2025, 16:07:51",,,,
6,trial,C03,8,Female,mouse,mouse,1,6,6,840.43,450.91,505.41,661.11,510,654,395.5,45,1050,3.2912,3.1344,1,"24/08/2025, 16:07:54",,,,
7,trial,C03,8,Female,mouse,mouse,1,7,7,505.41,661.11,659.1,422.97,660,423,283.43,30,1018,3.3851,3.3252,1,"24/08/2025, 16:07:57",,,,
8,trial,C03,8,Female,mouse,mouse,1,8,8,659.1,422.97,320.93,381.26,342,372,340.73,45,831,3.0996,3.73,0,"24/08/2025, 16:08:00",,,,
9,trial,C03,8,Female,mouse,mouse,1,9,9,320.93,381.26,631.86,648,626,645,409.67,60,1166,2.9686,2.546,1,"24/08/2025, 16:08:02",,,,
10,trial,C03,8,Female,mouse,mouse,1,10,10,631.86,648,134.17,399.19,137,403,556.42,30,1049,4.2889,4.0886,1,"24/08/2025, 16:08:05",,,,
11,trial,C03,8,Female,mouse,mouse,2,1,11,134.17,399.19,84.89,186.39,86,184,218.42,30,1317,3.0498,2.3157,1,"24/08/2025, 16:08:08",,,,
12,trial,C03,8,Female,mouse,mouse,2,2,12,84.89,186.39,286.12,632.29,287,632,489.2,30,1382,4.1133,2.9763,1,"24/08/2025, 16:08:11",,,,
13,trial,C03,8,Female,mouse,mouse,2,3,13,286.12,632.29,549.42,452.59,568,436,318.77,30,1166,3.5393,3.0354,0,"24/08/2025, 16:08:13",,,,
14,trial,C03,8,Female,mouse,mouse,2,4,14,549.42,452.59,700.74,604.9,705,607,214.7,60,1015,2.1948,2.1624,1,"24/08/2025, 16:08:16",,,,
15,trial,C03,8,Female,mouse,mouse,2,5,15,700.74,604.9,889.1,377.04,915,375,295.64,30,1015,3.4402,3.3894,0,"24/08/2025, 16:08:19",,,,
16,trial,C03,8,Female,mouse,mouse,2,6,16,889.1,377.04,192.39,564.99,191,561,721.62,30,1017,4.647,4.5693,1,"24/08/2025, 16:08:22",,,,
17,trial,C03,8,Female,mouse,mouse,2,7,17,192.39,564.99,764.43,631.4,759,628,575.88,45,1065,3.7863,3.5552,1,"24/08/2025, 16:08:24",,,,
18,trial,C03,8,Female,mouse,mouse,2,8,18,764.43,631.4,356.95,587.41,356,580,409.84,45,967,3.3374,3.4513,1,"24/08/2025, 16:08:27",,,,
19,trial,C03,8,Female,mouse,mouse,2,9,19,356.95,587.41,264.59,204.88,273,196,393.52,60,949,2.9181,3.075,1,"24/08/2025, 16:08:30",,,,
20,trial,C03,8,Female,mouse,mouse,2,10,20,264.59,204.88,117.58,259.04,142,287,156.67,60,849,1.8525,2.1819,0,"24/08/2025, 16:08:33",,,,
21,summary,C03,8,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1073,3.2653,20
22,summary,C03,8,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1073,3.2653,20
