row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C12,6,Female,mouse,mouse,1,1,1,720,373,344.71,290.81,355,301,384.18,45,1755,3.2536,1.8539,1,"07/10/2025, 17:14:20",,,,
2,trial,C12,6,Female,mouse,mouse,1,2,2,344.71,290.81,1338.57,455.72,1325,458,1007.45,60,2012,4.1531,2.0641,1,"07/10/2025, 17:14:24",,,,
3,trial,C12,6,Female,mouse,mouse,1,3,3,1338.57,455.72,492.65,283.43,486,284,863.28,30,1867,4.8961,2.6224,1,"07/10/2025, 17:14:27",,,,
4,trial,C12,6,Female,mouse,mouse,1,4,4,492.65,283.43,1120.53,361.98,1124,376,632.77,30,1698,4.4655,2.6298,1,"07/10/2025, 17:14:31",,,,
5,trial,C12,6,Female,mouse,mouse,1,5,5,1120.53,361.98,609,246.11,618,260,524.49,60,1816,3.2841,1.8085,1,"07/10/2025, 17:14:34",,,,
6,trial,C12,6,Female,mouse,mouse,1,6,6,609,246.11,636.89,499.3,640,508,254.73,30,1384,3.2465,2.3458,1,"07/10/2025, 17:14:38",,,,
7,trial,C12,6,Female,mouse,mouse,1,7,7,636.89,499.3,545.67,429.82,551,437,114.66,30,1918,2.2697,1.1834,1,"07/10/2025, 17:14:41",,,,
8,trial,C12,6,Female,mouse,mouse,1,8,8,545.67,429.82,804.48,558.18,808,561,288.9,45,1883,2.8914,1.5355,1,"07/10/2025, 17:14:45",,,,
9,trial,C12,6,Female,mouse,mouse,1,9,9,804.48,558.18,70.09,83.28,79,91,874.57,45,2113,4.353,2.0601,1,"07/10/2025, 17:14:48",,,,
10,trial,C12,6,Female,mouse,mouse,1,10,10,70.09,83.28,606.01,138.2,604,135,538.73,45,3316,3.6973,1.115,1,"07/10/2025, 17:14:52",,,,
11,trial,C12,6,Female,mouse,mouse,2,1,11,606.01,138.2,546.08,487.22,545,459,354.13,60,1383,2.787,2.0152,1,"07/10/2025, 17:14:55",,,,
12,trial,C12,6,Female,mouse,mouse,2,2,12,546.08,487.22,511.72,109.24,512,124,379.53,30,1733,3.771,2.176,1,"07/10/2025, 17:14:59",,,,
13,trial,C12,6,Female,mouse,mouse,2,3,13,511.72,109.24,87.98,662.94,93,660,697.23,45,1168,4.0439,3.4622,1,"07/10/2025, 17:15:02",,,,
14,trial,C12,6,Female,mouse,mouse,2,4,14,87.98,662.94,464.97,100.76,452,122,676.88,60,1380,3.6184,2.622,1,"07/10/2025, 17:15:06",,,,
15,trial,C12,6,Female,mouse,mouse,2,5,15,464.97,100.76,540.79,161.37,535,174,97.07,45,1234,1.6586,1.3441,1,"07/10/2025, 17:15:09",,,,
16,trial,C12,6,Female,mouse,mouse,2,6,16,540.79,161.37,366.58,397.84,368,408,293.71,30,1248,3.4317,2.7497,1,"07/10/2025, 17:15:13",,,,
17,trial,C12,6,Female,mouse,mouse,2,7,17,366.58,397.84,973.24,323.81,969,338,611.16,45,1383,3.8661,2.7954,1,"07/10/2025, 17:15:16",,,,
18,trial,C12,6,Female,mouse,mouse,2,8,18,973.24,323.81,497.12,673.08,513,672,590.5,45,1334,3.8199,2.8635,1,"07/10/2025, 17:15:20",,,,
19,trial,C12,6,Female,mouse,mouse,2,9,19,497.12,673.08,405.43,518.31,410,529,179.89,45,1282,2.3212,1.8106,1,"07/10/2025, 17:15:23",,,,
20,trial,C12,6,Female,mouse,mouse,2,10,20,405.43,518.31,1237.73,409.9,1233,411,839.33,60,1384,3.9058,2.8221,1,"07/10/2025, 17:15:27",,,,
21,summary,C12,6,Female,mouse,mouse,,,,,,,,,,,,,,,,,20,1664.55,2.194,0
22,summary,C12,6,Female,mouse,ALL,,,,,,,,,,,,,,,,,20,1664.55,2.194,0
